tag,step,wall_time,value,event_file
Episode_Reward/action_smoothness_l2,92126,1788217688.8426862,-0.006768679246306419,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92127,1788217689.4756224,-0.005778404884040356,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92128,1788217690.1068342,-0.007342188619077206,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92129,1788217690.747162,-0.007218236103653908,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92130,1788217691.3916051,-0.011113887652754784,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92131,1788217692.043172,-0.006175719201564789,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92132,1788217692.6655955,-0.008733282797038555,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92133,1788217693.3051336,-0.0069826580584049225,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92134,1788217693.953501,-0.006154618691653013,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92135,1788217694.5815833,-0.00681772455573082,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92136,1788217695.2059898,-0.006270773243159056,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92137,1788217695.8365474,-0.007861420512199402,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92138,1788217696.4725707,-0.006109326146543026,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92139,1788217697.0994635,-0.007838045246899128,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92140,1788217697.7447505,-0.008037390187382698,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92141,1788217698.392666,-0.011172138154506683,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92142,1788217699.0167594,-0.007023514248430729,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92143,1788217699.663022,-0.010219616815447807,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92144,1788217700.2941518,-0.006006730254739523,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92145,1788217700.9238932,-0.010459615848958492,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92146,1788217701.598585,-0.009666342288255692,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92147,1788217702.2386067,-0.007911434397101402,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92148,1788217702.8691163,-0.011292482726275921,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92149,1788217703.5060418,-0.008864743635058403,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92150,1788217704.1595008,-0.01161797996610403,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92151,1788217704.8164706,-0.006142765283584595,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92152,1788217705.4496202,-0.009897810406982899,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92153,1788217706.0865693,-0.006080935709178448,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92154,1788217706.7268069,-0.010903498157858849,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92155,1788217707.3431237,-0.005758646875619888,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92156,1788217707.9814937,-0.006988502573221922,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92157,1788217708.6163392,-0.0065216245129704475,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92158,1788217709.2513692,-0.010635269805788994,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92159,1788217709.896536,-0.007233740761876106,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92160,1788217710.5176735,-0.005912944674491882,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92161,1788217711.1656644,-0.0072761825285851955,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92162,1788217711.8061843,-0.005987224634736776,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92163,1788217712.4600863,-0.008654676377773285,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92164,1788217713.1195924,-0.009800045751035213,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92165,1788217713.751459,-0.005772612988948822,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92166,1788217714.3850968,-0.015210781246423721,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
